job_title,job_url,company,location,skills,job_description,category
"Project Manager, Fund Operations",https://www.karkidi.comN/A,Manulife Financial Corporation,"Boston, MA, USA","Machine Learning, Project Management","Aartificial intelligence,Business Analytics,IT,Machine learning techniques,Operations,Project management",Data Science & Analytics
"Project Manager, Fund Operations",https://www.karkidi.comN/A,Manulife Financial Corporation,"Montreal, QC, Canada; Toronto, ON, Canada; Waterloo, ON, Canada","Machine Learning, Project Management","Aartificial intelligence,Business Analytics,IT,Machine learning techniques,Operations,Project management",Data Science & Analytics
Data Analytics Lead,https://www.karkidi.comN/A,Manulife Financial Corporation,"Montreal, QC, Canada; Toronto, ON, Canada; Waterloo, ON, Canada","AWS, Azure, Data Science, GCP, Python, SQL, Tableau","AWS,Azure,Data Analytics,Data science techniques,Effective communication skills,Finance,Google Cloud Platform (GCP),Leadership Skill,PowerBI,Python Programming,R Programming,SQL,Tableau",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)1",https://www.karkidi.comN/A,"Quora, Inc.",Switzerland,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Poland,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Serbia,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Denmark,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Israel,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",India,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United Kingdom,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Germany,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",France,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Greece,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Portugal,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Spain,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Estonia,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Ireland,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Canada,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Staff Software Engineer - Monetization, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United States,"Data Analysis, Python, React","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",Software Development
"Machine Learning Engineering Manager, Photos",https://www.karkidi.comN/A,Apple Inc.,"Cupertino, CA, USA",Machine Learning,"Aartificial intelligence,Effective communication skills,Large Language Models - LLMs,Machine learning techniques",Software Development
Sr. Regulatory Engineering Project Manager - AI/ML (PACE),https://www.karkidi.comN/A,Apple Inc.,"Cupertino, CA, USA","Data Science, Machine Learning, Project Management","Aartificial intelligence,Data science techniques,Effective communication skills,Machine learning techniques,Project management",Software Development
"ML Engineer - Generative AI, Siri Agent Modeling",https://www.karkidi.comN/A,Apple Inc.,"Sunnyvale, CA, USA","Deep Learning, Machine Learning, PyTorch, TensorFlow","Aartificial intelligence,Deep Learning,Effective communication skills,JAX framework,Large Language Models - LLMs,Machine learning techniques,PyTorch,TensorFlow,Writing",Software Development
"AIML - Sr./Staff ML Engineer, Machine Learning Platform & Intelligence",https://www.karkidi.comN/A,Apple Inc.,"Seattle, WA, USA","AWS, Machine Learning","Aartificial intelligence,Algorithms,Amazon Elastic Compute Cloud-EC2,Amazon Simple Storage Service (S3),AWS,Data structuring,Design,Machine learning techniques",Software Development
AIML Data Operations Annotation Analyst - Spanish - 12 Month Contract,https://www.karkidi.comN/A,Apple Inc.,"Cork, Ireland",Machine Learning,"Aartificial intelligence,Annotation,Machine learning techniques,Operations,Spanish language,Writing",Data Science & Analytics
AIML Data Operations Annotation Analyst - Dutch - 12 Month Contract,https://www.karkidi.comN/A,Apple Inc.,"Cork, Ireland",Machine Learning,"Aartificial intelligence,Annotation,Dutch language,Machine learning techniques,Operations,Writing",Data Science & Analytics
"Sales - Senior AI Backend Software Engineer, Digital Channel",https://www.karkidi.comN/A,Apple Inc.,Singapore,"Docker, Kubernetes, Machine Learning, NoSQL, SQL","Aartificial intelligence,Analytical and Problem solving,Continuous Integration & Continuous Delivery - CI/CD,Database,Docker,Effective communication skills,Kubernetes-K8s,Machine learning techniques,NoSQL",Software Development
"Analytics Specialist, Global Airport Process and Analytics",https://www.karkidi.comN/A,Delta Air Lines,"Atlanta, GA, USA","Excel, Machine Learning, Python, SQL, Tableau","Data Visualization,Database,Machine learning techniques,Microsoft Office suites,Microsoft-Excel,PowerBI,Powerpoint,Python Programming,SAS,SQL,Tableau",Software Development
AI Software Development Engineer,https://www.karkidi.comN/A,Delta Air Lines,"Atlanta, GA, USA","AWS, Agile, DevOps, Keras, Machine Learning, NLP, TensorFlow","Aartificial intelligence,Agile methodologies,AWS,Caffe,DevOps,Keras software library,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),TensorFlow",Software Development
Director of Data Science,https://www.karkidi.comN/A,Workiva Inc.,United States,"Data Science, Machine Learning, NLP, PyTorch, TensorFlow","Aartificial intelligence,B2B,Data Engineering,Data science techniques,Data Visualization,Effective communication skills,Google BigQuery,Machine learning techniques,MLOps tools,Natural Language Processing (NLP),PyTorch,SaaS,Snowflake,TensorFlow",Data Science & Analytics
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Serbia,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Poland,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Denmark,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Israel,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",India,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United Kingdom,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Germany,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",France,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Greece,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Portugal,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Spain,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Estonia,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Ireland,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Canada,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",United States,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Switzerland,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Switzerland,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Poland,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Serbia,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",https://www.karkidi.comN/A,"Quora, Inc.",Denmark,"Data Science, Python","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",Software Development
